frame_idx,camera_id,t_arrival,t_inference_start,t_inference_end,gpu_mem_before_mb,gpu_mem_after_mb,num_persons,avg_confidence,wrist_keypoints
189,FF-34-CAM-4,33675.26457632,33675.26660847,33675.38626361,38.3330078125,38.3330078125,0,,0
191,FF-34-CAM-4,33676.229979783,33676.231537734,33676.402891927,38.3330078125,38.3330078125,0,,0
193,FF-34-CAM-4,33677.287939775,33677.294706677,33677.430310116,38.3330078125,38.3330078125,0,,0
195,FF-34-CAM-4,33678.209850991,33678.213580717,33678.287668535,38.3330078125,38.3330078125,0,,0
197,FF-34-CAM-4,33679.099839636,33679.102682776,33679.250953069,38.3330078125,38.3330078125,0,,0
199,FF-34-CAM-4,33680.1905105,33680.196570819,33680.305578175,38.3330078125,38.3330078125,0,,0
201,FF-34-CAM-4,33681.096937484,33681.099338979,33681.20897752,38.3330078125,38.3330078125,0,,0
203,FF-34-CAM-4,33682.047842659,33682.050503107,33682.234813519,38.3330078125,38.3330078125,0,,0
205,FF-34-CAM-4,33683.022106246,33683.025085135,33683.135227255,38.3330078125,38.3330078125,0,,0
207,FF-34-CAM-4,33683.932912341,33683.934552081,33684.083940039,38.3330078125,38.3330078125,0,,0
209,FF-34-CAM-4,33685.012786546,33685.018051206,33685.28426508,38.3330078125,38.3330078125,0,,0
211,FF-34-CAM-4,33686.295943299,33686.298082769,33686.473668207,38.3330078125,38.3330078125,0,,0
213,FF-34-CAM-4,33687.410449454,33687.412431037,33687.505378815,38.3330078125,38.3330078125,0,,0
215,FF-34-CAM-4,33688.262451762,33688.266787196,33688.402746429,38.3330078125,38.3330078125,0,,0
217,FF-34-CAM-4,33689.413958264,33689.416043913,33689.527643631,38.3330078125,38.3330078125,0,,0
219,FF-34-CAM-4,33690.44631796,33690.448583128,33690.599946525,38.3330078125,38.3330078125,0,,0
221,FF-34-CAM-4,33691.474479364,33691.476533691,33691.656271017,38.3330078125,38.3330078125,0,,0
223,FF-34-CAM-4,33692.58623689,33692.591584245,33692.833308668,38.3330078125,38.3330078125,0,,0
225,FF-34-CAM-4,33693.930890997,33693.936056903,33694.085287993,38.3330078125,38.3330078125,0,,0
227,FF-34-CAM-4,33695.068757571,33695.07287332,33695.255535902,38.3330078125,38.3330078125,0,,0
229,FF-34-CAM-4,33696.173537705,33696.174983013,33696.248186499,38.3330078125,38.3330078125,0,,0
231,FF-34-CAM-4,33697.250497492,33697.253682194,33697.376093806,38.3330078125,38.3330078125,0,,0
233,FF-34-CAM-4,33698.246225481,33698.248905118,33698.395167857,38.3330078125,38.3330078125,0,,0
235,FF-34-CAM-4,33699.264534185,33699.271334539,33699.461024592,38.3330078125,38.3330078125,0,,0
237,FF-34-CAM-4,33700.294823326,33700.297585195,33700.454262255,38.3330078125,38.3330078125,0,,0
239,FF-34-CAM-4,33701.284460824,33701.287509101,33701.433549148,38.3330078125,38.3330078125,0,,0
241,FF-34-CAM-4,33702.426180978,33702.430356972,33702.595142396,38.3330078125,38.3330078125,0,,0
243,FF-34-CAM-4,33703.505806561,33703.50922536,33703.62209489,38.3330078125,38.3330078125,0,,0
245,FF-34-CAM-4,33704.599747893,33704.602669792,33704.748723323,38.3330078125,38.3330078125,0,,0
247,FF-34-CAM-4,33705.648389359,33705.651985434,33705.805308407,38.3330078125,38.3330078125,0,,0
249,FF-34-CAM-4,33706.620763641,33706.623338084,33706.756318186,38.3330078125,38.3330078125,0,,0
251,FF-34-CAM-4,33707.684699054,33707.687828547,33707.792145092,38.3330078125,38.3330078125,0,,0
253,FF-34-CAM-4,33708.445922658,33708.447687513,33708.672375741,38.3330078125,38.3330078125,0,,0
255,FF-34-CAM-4,33709.764776565,33709.773082695,33709.964038876,38.3330078125,38.3330078125,0,,0
257,FF-34-CAM-4,33710.824720429,33710.826887978,33710.967901245,38.3330078125,38.3330078125,0,,0
259,FF-34-CAM-4,33711.825701532,33711.831021101,33712.038826984,38.3330078125,38.3330078125,0,,0
261,FF-34-CAM-4,33713.117558622,33713.119117575,33713.290933179,38.3330078125,38.3330078125,0,,0
263,FF-34-CAM-4,33714.218382754,33714.221193115,33714.320439795,38.3330078125,38.3330078125,0,,0
265,FF-34-CAM-4,33715.112571205,33715.114930061,33715.25539333,38.3330078125,38.3330078125,0,,0
267,FF-34-CAM-4,33716.015806033,33716.018927342,33716.118849731,38.3330078125,38.3330078125,0,,0
269,FF-34-CAM-4,33716.873982466,33716.876940909,33717.047772914,38.3330078125,38.3330078125,0,,0
271,FF-34-CAM-4,33717.844347649,33717.849699577,33718.115109003,38.3330078125,38.3330078125,0,,0
273,FF-34-CAM-4,33718.980667813,33718.98685081,33719.113806404,38.3330078125,38.3330078125,0,,0
275,FF-34-CAM-4,33719.947588995,33719.952150865,33720.168298052,38.3330078125,38.3330078125,0,,0
277,FF-34-CAM-4,33721.15042286,33721.154898249,33721.331625167,38.3330078125,38.3330078125,0,,0
279,FF-34-CAM-4,33722.231296157,33722.240868546,33722.377539608,38.3330078125,38.3330078125,0,,0
281,FF-34-CAM-4,33723.221616384,33723.224629037,33723.396021089,38.3330078125,38.3330078125,0,,0
283,FF-34-CAM-4,33724.299573571,33724.301878129,33724.475947605,38.3330078125,38.3330078125,0,,0
285,FF-34-CAM-4,33725.210534976,33725.211987346,33725.370772081,38.3330078125,38.3330078125,0,,0
287,FF-34-CAM-4,33726.373631517,33726.376936066,33726.550345761,38.3330078125,38.3330078125,0,,0
289,FF-34-CAM-4,33727.444292427,33727.445893274,33727.564284878,38.3330078125,38.3330078125,0,,0
293,FF-34-CAM-4,33729.930358815,33729.934159763,33730.125670118,38.33349609375,38.3330078125,0,,0
295,FF-34-CAM-4,33730.938125633,33730.939858044,33731.084397737,38.3330078125,38.3330078125,0,,0
299,FF-34-CAM-4,33732.967474889,33732.970083996,33733.163088976,38.33349609375,38.3330078125,0,,0
